imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, v, w, stamp, 
0.010469257831573486, -0.007961809635162354, 0.0009517507119612261, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1700252122515654177, 
-0.0182531476020813, -0.0171358585357666, -0.002126221235986921, 3.509262889033456e-11, -8.853941368577292e-06, -3.963503645379738e-06, 7.08315309486184e-07, 0.0, 0.0, -4.7892335715005174e-06, 1700252122565436374, 
0.008681654930114746, 0.0022575855255126953, 0.00010708453556874335, 3.319693952381936e-11, -1.2462162833456276e-05, -2.6638184693509145e-06, 1.2515017511025887e-06, -8.747482173015883e-14, 0.0, -2.3846037038310897e-06, 1700252122615427612, 
0.015064239501953125, -0.006707668304443359, 0.003605095732198234, 7.302199947107257e-11, 4.466818867531181e-05, 1.6347651793508241e-06, -4.104522472397239e-06, 9.894747869278303e-13, 0.0, 2.483239541106741e-06, 1700252122663433164, 
1.1853196620941162, -0.5342608094215393, 0.2985830217460694, 2.9533073006042446e-07, 0.004063562701911674, 7.267778344394395e-05, -0.00038462189795961484, 1.0244610769546129e-10, 0.0, 9.93235080386512e-05, 1700252122754712116, 
0.6389867663383484, -0.22697210311889648, 0.3873686019523305, -0.02208066847306442, 0.05498399614072083, -0.4015835519948977, 0.00031288955100494426, -5.795718566279471e-07, 0.057858005383491666, -0.48431143164634705, 1700252122873011617, 
0.29076069593429565, -0.4228633642196655, 0.3656652434262992, -0.12425005648776265, 0.17639379540962105, -0.7043901753983444, 0.007555869564255643, -6.410975505876418e-05, 0.12650920495575835, -0.7578833699226379, 1700252122965632873, 
0.3658640384674072, -0.42097604274749756, 0.3671580639973182, -0.28891781543735523, 0.24444091791614692, -1.1819535693957166, 0.02570963739248247, -0.0010860265678130738, 0.19318420510817877, -1.2663767337799072, 1700252123112827882, 
-0.07899242639541626, -0.23347610235214233, 0.24490012166437214, -0.3013197947491101, 0.20914856167127935, -1.4406974274233695, 0.04867522946457303, -0.004235290363758383, 0.2418229922391834, -1.5036860704421997, 1700252123205627397, 
-0.4505643844604492, -0.9859844446182251, 0.06849605135495684, -0.690313576855407, 0.43671453622517076, -1.580697502817905, 0.07163975471920457, -0.010223225243427966, 0.24903691813665868, -1.5761162042617798, 1700252123366464382, 
-0.17237311601638794, -0.5268011689186096, -0.002394511087236789, -0.49764056878466645, 0.30756594056387093, -1.6179963485954438, 0.11038035695473195, -0.026860173785309638, 0.25914069205947293, -1.6200708150863647, 1700252123464570648, 
-0.6737596988677979, -0.9783352017402649, -0.17618029413306718, -0.7309108862074645, 0.43537627248639954, -1.6788027561384777, 0.1375776196609221, -0.04397537463854995, 0.2612465543133429, -1.6529382467269897, 1700252123512951592, 
-0.7288762331008911, -0.46002691984176636, -0.32930917320334063, -0.4568038118255035, 0.31346352761998286, -1.4572789864704594, 0.16985636074201454, -0.07253905296375192, 0.26629356199583126, -1.4042693376541138, 1700252123658601983, 
0.2736797332763672, -0.4753125309944153, -0.16724737280482516, -0.44509060006715084, 0.28883874169458157, -1.5409657217583026, 0.18933068627179803, -0.09674575085121197, 0.2677831471040015, -1.554023027420044, 1700252123767428153, 
