x, y, theta, stamp, 
2.7400262983887906e-06, -2.230601888527256e-08, 1.3991218581399184e-06, 694756000000, 
2.6993619870570873e-06, -2.237304385084782e-08, 1.4017923084821618e-06, 694858000000, 
2.697085211853051e-06, -2.231900817189318e-08, 1.4038999169404034e-06, 694926000000, 
2.7466470830811554e-06, -2.2381427194390952e-08, 1.4075033825079577e-06, 695028000000, 
2.733636892282893e-06, -2.2429569942277036e-08, 1.4104134387328261e-06, 695130000000, 
2.7445843195519478e-06, -2.2350308199301275e-08, 1.4136551022888044e-06, 695232000000, 
2.7581270278223985e-06, -2.246433487322078e-08, 1.416840598770919e-06, 695334000000, 
2.727616776509644e-06, -2.2449822207578836e-08, 1.4196301021539377e-06, 695436000000, 
2.7690070481056473e-06, -2.2480552373670164e-08, 1.4231756316171097e-06, 695538000000, 
2.773747201915217e-06, -2.2394288714078084e-08, 1.4262413107091145e-06, 695640000000, 
2.7586664106550973e-06, -2.244849944283502e-08, 1.4292489277452627e-06, 695742000000, 
2.793014495974885e-06, -2.2473155697944228e-08, 1.432721552193545e-06, 695844000000, 
2.7647261848021682e-06, -2.2550872005930094e-08, 1.4354824302682255e-06, 695946000000, 
2.7728358426841715e-06, -2.248841987184515e-08, 1.4387022983118133e-06, 696048000000, 
2.8282831297729288e-06, -2.2575936188953e-08, 1.4423411861824022e-06, 696150000000, 
2.7873968819655708e-06, -2.2530681760754495e-08, 1.4450324205718084e-06, 696252000000, 
2.7685214321043207e-06, -2.2613165658517362e-08, 1.4479385858313233e-06, 696354000000, 
2.8292766008712886e-06, -2.2575588528010856e-08, 1.4516451617147728e-06, 696456000000, 
2.8629985175677077e-06, -2.2632573682132984e-08, 1.453986849436875e-06, 696524000000, 
2.8207969225564585e-06, -2.262014077751715e-08, 1.456698240886228e-06, 696626000000, 
2.7719172982644106e-06, -2.2585733147737662e-08, 1.45932879848338e-06, 696728000000, 
2.8087275658183014e-06, -2.2692229104310082e-08, 1.462750214003013e-06, 696830000000, 
2.8829040453194057e-06, -2.2706534394011808e-08, 1.4666049129089988e-06, 696932000000, 
2.87326720980903e-06, -2.2720850333742665e-08, 1.4695818768318736e-06, 697034000000, 
2.825619226791501e-06, -2.274868986460671e-08, 1.4722673956194245e-06, 697136000000, 
2.8543637787209354e-06, -2.2728675351411524e-08, 1.475594520531049e-06, 697238000000, 
2.8958027130381155e-06, -2.27657723291598e-08, 1.4790504244977033e-06, 697340000000, 
2.844137819441619e-06, -2.2750797806870388e-08, 1.4816586323723044e-06, 697442000000, 
2.8565622452753484e-06, -2.2806674099396235e-08, 1.4849225919233708e-06, 697544000000, 
2.919877045360161e-06, -2.2814968855501536e-08, 1.4886772920258136e-06, 697646000000, 
2.8984922691282447e-06, -2.2762030731157343e-08, 1.491508752792672e-06, 697748000000, 
2.8748940864817467e-06, -2.278642369159782e-08, 1.4943848026108418e-06, 697850000000, 
2.9087936913665117e-06, -2.2860816334999975e-08, 1.4967868703140311e-06, 697918000000, 
2.9254770618856143e-06, -2.281361255441568e-08, 1.49999735614523e-06, 698020000000, 
2.9039037922776613e-06, -2.2826677237698882e-08, 1.5029294409216999e-06, 698122000000, 
2.9377861959543864e-06, -2.286221539126754e-08, 1.5063491215224832e-06, 698224000000, 
2.915548506735304e-06, -2.2944940632295995e-08, 1.5092041736201512e-06, 698326000000, 
2.9172507142998147e-06, -2.2867148643979618e-08, 1.5123653816771827e-06, 698428000000, 
2.9664387698802494e-06, -2.295674243160132e-08, 1.515941191120731e-06, 698530000000, 
2.9356303264671785e-06, -2.2953981317122103e-08, 1.5186903784178342e-06, 698632000000, 
2.9674830621210344e-06, -2.298912741359411e-08, 1.5221434083662589e-06, 698734000000, 
2.9628230806825727e-06, -2.290469304578904e-08, 1.5251111014755992e-06, 698836000000, 
2.9384686434911412e-06, -2.296099733714362e-08, 1.5280215890826853e-06, 698938000000, 
2.9960620687891387e-06, -2.3029329178512438e-08, 1.5316749258707555e-06, 699040000000, 
2.997772285871609e-06, -2.305972205608892e-08, 1.5347476638502782e-06, 699142000000, 
2.95262363965281e-06, -2.3080888702904134e-08, 1.53740221418475e-06, 699244000000, 
2.973751783243622e-06, -2.2985776500835993e-08, 1.5407514006950175e-06, 699346000000, 
3.0300163775115895e-06, -2.3100081933943455e-08, 1.5443872225024896e-06, 699448000000, 
2.986867069886649e-06, -2.304847115253268e-08, 1.5470891234138461e-06, 699550000000, 
2.9867555875373343e-06, -2.313696533338532e-08, 1.5501794489179412e-06, 699652000000, 
3.025263474202336e-06, -2.3068615569993735e-08, 1.5526098016526718e-06, 699720000000, 
3.033848531904821e-06, -2.315124996981625e-08, 1.5557629158485674e-06, 699822000000, 
2.993323250717488e-06, -2.3082917074941937e-08, 1.5584565835982858e-06, 699924000000, 
3.02041816919534e-06, -2.3194115927411797e-08, 1.561832473192078e-06, 700026000000, 
3.0701857748366938e-06, -2.3186872519657787e-08, 1.565444627923819e-06, 700128000000, 
3.0344836028257685e-06, -2.32251771758027e-08, 1.5681450998911327e-06, 700230000000, 
3.0292270965276767e-06, -2.316710332182237e-08, 1.5712583126146474e-06, 700332000000, 
3.0777375270761348e-06, -2.3183382941425524e-08, 1.5748676288682336e-06, 700434000000, 
3.0517073334098506e-06, -2.325201324936819e-08, 1.5775994598620498e-06, 700536000000, 
3.0766536789311742e-06, -2.3289500381430412e-08, 1.5810016273625386e-06, 700638000000, 
3.0833301390708636e-06, -2.324438799252426e-08, 1.5841161242739225e-06, 700740000000, 
3.057777788748055e-06, -2.3257754400122234e-08, 1.5869804098468572e-06, 700842000000, 
3.108423020119666e-06, -2.3328551827459884e-08, 1.5905734017149289e-06, 700944000000, 
3.103285467327612e-06, -2.3360703779275815e-08, 1.5935816048209474e-06, 701046000000, 
3.0891121612124957e-06, -2.3292118556821224e-08, 1.5966196245149964e-06, 701148000000, 
3.1283063574932652e-06, -2.3385108212228253e-08, 1.6000971335899045e-06, 701250000000, 
3.1069613891830236e-06, -2.3407729338159997e-08, 1.6018789627642403e-06, 701318000000, 
3.0919257551720188e-06, -2.3338149315732992e-08, 1.6048933164745504e-06, 701420000000, 
3.1454010789240463e-06, -2.3359914570150444e-08, 1.6085404495827096e-06, 701522000000, 
3.130448959343786e-06, -2.341899298678606e-08, 1.611402680825157e-06, 701624000000, 
3.0958887164977594e-06, -2.3458912221359296e-08, 1.6141900312830126e-06, 701726000000, 
3.1394447625959223e-06, -2.342669317452217e-08, 1.617742420440758e-06, 701828000000, 
3.1672664888650363e-06, -2.3451587405069427e-08, 1.62105569879478e-06, 701930000000, 
3.1312786449338335e-06, -2.351531331462522e-08, 1.6238220579153418e-06, 702032000000, 
3.1419261971322498e-06, -2.3500176547774214e-08, 1.6270402794474197e-06, 702134000000, 
3.1926399999735454e-06, -2.343047519859042e-08, 1.630649913623707e-06, 702236000000, 
3.1558009563454454e-06, -2.3547564516260934e-08, 1.6333768680333746e-06, 702338000000, 
3.1499085883232857e-06, -2.3576113145868333e-08, 1.63642726808735e-06, 702440000000, 
3.2029790285806905e-06, -2.3520420076337888e-08, 1.6400611359719956e-06, 702542000000, 
3.2068165109338046e-06, -2.35356749919864e-08, 1.6431306441384818e-06, 702644000000, 
3.168277382873317e-06, -2.355320464821318e-08, 1.6458711126293144e-06, 702746000000, 
3.2120852322746245e-06, -2.3626057451224603e-08, 1.6493823392766846e-06, 702848000000, 
3.2293545473845766e-06, -2.3647425476706655e-08, 1.6516201588792569e-06, 702916000000, 
3.197615823994599e-06, -2.3591168492843966e-08, 1.6543975146492756e-06, 703018000000, 
3.2402857757762484e-06, -2.366521010458224e-08, 1.657914839465595e-06, 703120000000, 
3.2322152909552494e-06, -2.36969962217299e-08, 1.660922218309148e-06, 703222000000, 
3.2112307452414483e-06, -2.363117160464564e-08, 1.6638556434118738e-06, 703324000000, 
3.2577500766961918e-06, -2.3655070112931328e-08, 1.6674392120972483e-06, 703426000000, 
3.235938975337015e-06, -2.371595365262836e-08, 1.6702374935587966e-06, 703528000000, 
3.2499978325359728e-06, -2.3755907269019482e-08, 1.6735381565094652e-06, 703630000000, 
3.2639576507961113e-06, -2.377355359104615e-08, 1.6767369147490086e-06, 703732000000, 
3.2334746234505648e-06, -2.3721730558269012e-08, 1.6795251090764361e-06, 703834000000, 
3.273333046517148e-06, -2.3795705974669734e-08, 1.6830199110194127e-06, 703936000000, 
3.2982860046574995e-06, -2.373557530998115e-08, 1.686354250264236e-06, 704038000000, 
3.2543659557871757e-06, -2.383812092689292e-08, 1.6889867189170662e-06, 704140000000, 
3.257683150376529e-06, -2.3748049801526603e-08, 1.6921744113966428e-06, 704242000000, 
3.3160844854395384e-06, -2.3761753536675028e-08, 1.6958877538642776e-06, 704344000000, 
3.294146349520638e-06, -2.3872105851617494e-08, 1.6987126632483545e-06, 704446000000, 
3.27740413877643e-06, -2.3896351148803145e-08, 1.7016454356678039e-06, 704548000000, 
3.3041051305673245e-06, -2.383073977773761e-08, 1.7039690121305006e-06, 704616000000, 
3.345372094545991e-06, -2.392334343377551e-08, 1.7074265954817008e-06, 704718000000, 
3.2966344230212342e-06, -2.383591299133255e-08, 1.7100723203921588e-06, 704820000000, 
3.305884628155443e-06, -2.3953869836092844e-08, 1.713274171295628e-06, 704922000000, 
3.370545647288061e-06, -2.3962389685741686e-08, 1.717042845743677e-06, 705024000000, 
3.350358184770731e-06, -2.39882962811444e-08, 1.7198901628613524e-06, 705126000000, 
3.3213597781374286e-06, -2.3923577275315133e-08, 1.7227556883448822e-06, 705228000000, 
3.3671551855554987e-06, -2.4013369873998717e-08, 1.7263078463405843e-06, 705330000000, 
3.35647528711722e-06, -2.4030588482865296e-08, 1.7292323820543798e-06, 705432000000, 
3.3634567649403395e-06, -2.4046985597474464e-08, 1.7324579261798213e-06, 705534000000, 
3.392630327086429e-06, -2.406542337725447e-08, 1.7357981454989891e-06, 705636000000, 
3.3570167769965314e-06, -2.400951599470409e-08, 1.7385369186927595e-06, 705738000000, 
3.389867067976473e-06, -2.4086338323762e-08, 1.7419670957354022e-06, 705840000000, 
3.4176719329828396e-06, -2.4101029319988214e-08, 1.7443203943627519e-06, 705908000000, 
3.38123686347158e-06, -2.4048648073337627e-08, 1.7470123304360856e-06, 706010000000, 
3.4130274772412416e-06, -2.4126207753418734e-08, 1.7504421684768877e-06, 706112000000, 
3.4120584406295402e-06, -2.410590276871367e-08, 1.7535209349714773e-06, 706214000000, 
3.3862912665342728e-06, -2.409030107084795e-08, 1.7563960310861944e-06, 706316000000, 
3.4382093601358116e-06, -2.416597324179348e-08, 1.7599815224395919e-06, 706418000000, 
3.441734780649231e-06, -2.4206740017006327e-08, 1.7630816064847736e-06, 706520000000, 
3.3968647612434182e-06, -2.420775593864691e-08, 1.7657428460691332e-06, 706622000000, 
3.422613849504504e-06, -2.4181303647572094e-08, 1.7691518799669643e-06, 706724000000, 
3.475757081753668e-06, -2.4240409604374378e-08, 1.772726716855344e-06, 706826000000, 
3.438946230835206e-06, -2.426921836071027e-08, 1.775510483841791e-06, 706928000000, 
3.431710887270293e-06, -2.425095785138222e-08, 1.7785271070633625e-06, 707030000000, 
3.490180224374611e-06, -2.4284584475356503e-08, 1.7822208411582808e-06, 707132000000, 
3.478585117789003e-06, -2.4296085983585698e-08, 1.7851146661184776e-06, 707234000000, 
3.446293432296898e-06, -2.4324516430393242e-08, 1.7879457066471828e-06, 707336000000, 
3.487384626174341e-06, -2.4281827803569552e-08, 1.791438785629949e-06, 707438000000, 
3.491954145148535e-06, -2.435118025971738e-08, 1.7945572797684847e-06, 707540000000, 
3.4907151534790904e-06, -2.4360408149132597e-08, 1.797665891246232e-06, 707642000000, 
3.5127964638923107e-06, -2.4361068178667787e-08, 1.8009949153101948e-06, 707744000000, 
3.4864303218362235e-06, -2.4333981453898158e-08, 1.8027829043603926e-06, 707812000000, 
3.484520108308022e-06, -2.4408080123447652e-08, 1.8058563414350063e-06, 707914000000, 
3.5475794523052043e-06, -2.441438948875245e-08, 1.809630224840743e-06, 708016000000, 
3.536296024530468e-06, -2.444468036615658e-08, 1.8125783814414472e-06, 708118000000, 
3.4974737180360338e-06, -2.437735455477039e-08, 1.8153058827368538e-06, 708220000000, 
3.542554976895609e-06, -2.445481322830199e-08, 1.8188071019227305e-06, 708322000000, 
3.5676496193242506e-06, -2.4479468763645916e-08, 1.822119793920562e-06, 708424000000, 
3.5174015315387495e-06, -2.4491571622431485e-08, 1.824724890614115e-06, 708526000000, 
3.5361836053637014e-06, -2.446781127605666e-08, 1.8280759428294156e-06, 708628000000, 
3.5824577207343153e-06, -2.4528786235808052e-08, 1.8315824935927226e-06, 708730000000, 
3.5523350187146943e-06, -2.4498395204657337e-08, 1.8343786699489183e-06, 708832000000, 
3.5890430003044973e-06, -2.4567689544556402e-08, 1.837870055409153e-06, 708934000000, 
3.571309727659708e-06, -2.4580668021465473e-08, 1.8407511300311911e-06, 709036000000, 
3.552076897689244e-06, -2.448786423057284e-08, 1.8436976134416374e-06, 709138000000, 
3.6107345908290533e-06, -2.4607238050222482e-08, 1.8473972627310006e-06, 709240000000, 
3.6211050944184326e-06, -2.4504307012693137e-08, 1.8495014217926464e-06, 709308000000, 
3.5791445766685954e-06, -2.463217162146571e-08, 1.8521565407996113e-06, 709410000000, 
3.587335516687627e-06, -2.4573390311414803e-08, 1.8553863085151954e-06, 709512000000, 
3.6430047789939172e-06, -2.460856565103725e-08, 1.8590837998343748e-06, 709614000000, 
3.6047972025438066e-06, -2.4617487725539307e-08, 1.8617690504800268e-06, 709716000000, 
3.5960146865393636e-06, -2.4693851473712144e-08, 1.8647635046061218e-06, 709818000000, 
3.6525387466896753e-06, -2.462354025224997e-08, 1.8684604066689995e-06, 709920000000, 
3.658163482955839e-06, -2.4638741999201887e-08, 1.871556823611873e-06, 710022000000, 
3.6184237655737734e-06, -2.4660012716737642e-08, 1.8742779272942411e-06, 710124000000, 
3.656602367591171e-06, -2.473973207169177e-08, 1.8777255884247378e-06, 710226000000, 
3.674893749015521e-06, -2.476639359144023e-08, 1.8809802283153418e-06, 710328000000, 
3.655410504256368e-06, -2.4784364348903087e-08, 1.883961245736208e-06, 710430000000, 
3.689665311090478e-06, -2.479644675140498e-08, 1.8873922655173e-06, 710532000000, 
3.655590804729128e-06, -2.47449822515131e-08, 1.8901125417818927e-06, 710634000000, 
3.670683560056006e-06, -2.4825231226906666e-08, 1.893372026762285e-06, 710736000000, 
3.705549577749748e-06, -2.483392045165189e-08, 1.8968201930712944e-06, 710838000000, 
3.68230664400173e-06, -2.4776439439708224e-08, 1.899670862935116e-06, 710940000000, 
3.700437552708118e-06, -2.4861728095990006e-08, 1.9019164418716392e-06, 711008000000, 
3.7160057076191156e-06, -2.485038946309835e-08, 1.905132659920152e-06, 711110000000, 
3.691787224780087e-06, -2.4819203560731044e-08, 1.9079983421081038e-06, 711212000000, 
3.7256256283298644e-06, -2.4900825776945983e-08, 1.911447236900865e-06, 711314000000, 
3.7396356917837136e-06, -2.4928808602408872e-08, 1.914658786724964e-06, 711416000000, 
3.7159328227074492e-06, -2.4947735127107754e-08, 1.9175896086009598e-06, 711518000000, 
3.7520338918665745e-06, -2.496522489457256e-08, 1.9210737705765275e-06, 711620000000, 
3.7259415248865628e-06, -2.4943289359837916e-08, 1.923869156720814e-06, 711722000000, 
3.736562282108568e-06, -2.4986053690871538e-08, 1.9270562221577755e-06, 711824000000, 
3.7671893685302575e-06, -2.499579783403599e-08, 1.9304538952614424e-06, 711926000000, 
3.7397647707978572e-06, -2.4939160880624054e-08, 1.9332649591669902e-06, 712028000000, 
3.7705433087663473e-06, -2.5021565077001314e-08, 1.936662588691405e-06, 712130000000, 
3.781535117354806e-06, -2.5050258032110303e-08, 1.939841530892711e-06, 712232000000, 
3.7607324155912555e-06, -2.506805971681646e-08, 1.9427790308631475e-06, 712334000000, 
3.7996786380854665e-06, -2.4996408419351694e-08, 1.9463034620721392e-06, 712436000000, 
3.776515612014685e-06, -2.5061649641608588e-08, 1.9491157874380345e-06, 712538000000, 
3.774167213450356e-06, -2.5108631958590914e-08, 1.9511690758938923e-06, 712606000000, 
