Path_x,Path_y
-0.019999999999999574,-0.019999999999999574
0.03000000000000025,0.030000000000001137
0.08000000000000096,0.08000000000000185
0.13000000000000078,0.08000000000000185
0.1800000000000006,0.08000000000000185
0.23000000000000043,0.08000000000000185
0.28000000000000025,0.13000000000000078
0.33000000000000096,0.13000000000000078
0.3800000000000008,0.1800000000000015
0.4300000000000006,0.23000000000000043
0.4800000000000004,0.28000000000000114
0.5300000000000002,0.33000000000000185
0.580000000000001,0.3800000000000008
0.6300000000000008,0.4300000000000015
0.6800000000000006,0.4800000000000022
0.7300000000000004,0.5300000000000011
0.7800000000000002,0.5800000000000018
0.830000000000001,0.6300000000000008
0.8800000000000008,0.6800000000000015
0.9300000000000006,0.7300000000000022
0.9800000000000004,0.7800000000000011
1.0300000000000002,0.8300000000000018
1.080000000000001,0.8800000000000008
1.1300000000000008,0.9300000000000015
1.1800000000000006,0.9800000000000022
1.2300000000000004,1.0300000000000011
1.2800000000000002,1.0800000000000018
1.330000000000001,1.1300000000000008
1.3800000000000008,1.1800000000000015
1.4300000000000006,1.2300000000000022
1.4800000000000004,1.2800000000000011
1.5300000000000002,1.3300000000000018
1.580000000000001,1.3800000000000008
1.6300000000000008,1.4300000000000015
1.6800000000000006,1.4800000000000022
1.7300000000000004,1.5300000000000011
1.7800000000000002,1.5800000000000018
1.830000000000001,1.6300000000000008
1.8800000000000008,1.6800000000000015
1.9300000000000006,1.6800000000000015
1.9800000000000004,1.6800000000000015
2.0300000000000002,1.6800000000000015
2.080000000000001,1.6800000000000015
2.130000000000001,1.6800000000000015
2.1800000000000006,1.6800000000000015
2.2300000000000004,1.6800000000000015
2.2800000000000002,1.6800000000000015
2.330000000000001,1.6800000000000015
2.380000000000001,1.6800000000000015
2.4300000000000006,1.6800000000000015
2.4800000000000004,1.6800000000000015
2.5300000000000002,1.6800000000000015
2.580000000000001,1.6800000000000015
2.630000000000001,1.6800000000000015
2.6800000000000006,1.6800000000000015
2.7300000000000004,1.6800000000000015
2.7800000000000002,1.6800000000000015
2.830000000000001,1.6800000000000015
2.88,1.6800000000000015
2.9300000000000006,1.6800000000000015
2.9800000000000013,1.6800000000000015
3.0300000000000002,1.6800000000000015
3.080000000000001,1.6800000000000015
3.13,1.6800000000000015
3.1800000000000006,1.6800000000000015
3.2300000000000013,1.6800000000000015
3.2800000000000002,1.6800000000000015
3.330000000000001,1.6800000000000015
3.38,1.6800000000000015
3.4300000000000006,1.6800000000000015
3.4800000000000013,1.6300000000000008
3.5300000000000002,1.5800000000000018
3.580000000000001,1.5300000000000011
3.63,1.4800000000000022
3.6800000000000006,1.4300000000000015
3.7300000000000013,1.3800000000000008
3.7800000000000002,1.3800000000000008
3.830000000000001,1.3300000000000018
3.88,1.3300000000000018
3.9300000000000006,1.3300000000000018
3.9800000000000013,1.3300000000000018
4.03,1.3800000000000008
4.080000000000001,1.3800000000000008
4.13,1.3800000000000008
4.180000000000001,1.3800000000000008
4.230000000000001,1.3800000000000008
4.28,1.3800000000000008
4.330000000000001,1.3800000000000008
4.380000000000002,1.3800000000000008
4.430000000000001,1.4300000000000015
4.480000000000001,1.4300000000000015
4.53,1.4800000000000022
4.580000000000001,1.5300000000000011
4.630000000000002,1.5800000000000018
4.680000000000001,1.6300000000000008
4.730000000000001,1.6800000000000015
4.78,1.6800000000000015
4.830000000000001,1.6800000000000015
4.880000000000002,1.6800000000000015
4.930000000000001,1.6800000000000015
4.980000000000001,1.6800000000000015
