e, e_dot, e_int, stamp, 
0.7856285417334687, 6.473780197098952e-07, 0.1571256823774414, 30532000000, 
0.7856286133363217, 8.897607750579795e-07, 0.1571257000985253, 30600000000, 
0.7856284760108286, -2.1907546702652306e-07, 0.15712570873870793, 30702000000, 
0.7959628586596604, 0.03444748441112903, 0.15781466320045406, 30804000000, 
0.7952960727735564, 0.032225322542425903, 0.1584591604962697, 30906000000, 
0.7982752149347127, 0.007707854250174062, 0.15930227642452863, 30974000000, 
0.8036845424571096, 0.02796156561184408, 0.15981705534435858, 31076000000, 
0.8040517851166546, 0.01925523393980666, 0.16040076950056512, 31178000000, 
0.8040604486808962, 0.0012530207459552727, 0.1607864517503107, 31280000000, 
0.8087126015978677, 0.015536054937376939, 0.16112165569302792, 31348000000, 
0.8019875423069831, -0.006909687913043694, 0.16098403950571646, 31450000000, 
0.8021598691229566, -0.021842441583037237, 0.16085733420185383, 31552000000, 
0.8021805449976289, 0.0006433423021527199, 0.1604218637618379, 31620000000, 
0.8055861419552652, 0.011420909441028915, 0.16066177040505672, 31722000000, 
0.8057787106706655, 0.01199388557678871, 0.16090302650823732, 31790000000, 
0.8057393897921897, 0.0005108261230816572, 0.16114028282787468, 31892000000, 
0.8057213954774709, -0.00019105064398209728, 0.16114929972935507, 31994000000, 
0.8057254877200338, -4.6340240519674815e-05, 0.1611457515326463, 32062000000, 
0.8091788848884933, 0.011524964703408061, 0.1613750512057332, 32164000000, 
0.8127709900454956, 0.023485007751539166, 0.16184502417693486, 32266000000, 
0.8129171838242956, 0.012460996452674141, 0.16232447058388563, 32368000000, 
0.8164259507084733, 0.012183202209925895, 0.16280760830521765, 32436000000, 
0.8200484347343496, 0.023770836366846886, 0.16329277128447459, 32538000000, 
0.8202690151921666, 0.012810214945644013, 0.16378289337566596, 32606000000, 
0.8239449317397086, 0.012988323351196632, 0.1642841587777483, 32708000000, 
0.8274572613422998, 0.023960820500444163, 0.16477808055161167, 32810000000, 
0.8275634982855518, 0.012061888486143793, 0.165264379424504, 32912000000, 
0.831186849077443, 0.01243195911714401, 0.1657471739136863, 32980000000, 
0.8349030630558838, 0.024465215901106802, 0.1662435606945919, 33082000000, 
0.8350481648819575, 0.012871052681715142, 0.16674253846768564, 33184000000, 
0.8350692475843952, 0.0005539484283711982, 0.16700136503481575, 33252000000, 
0.8386882771598605, 0.012133707593009838, 0.16725371264174754, 33354000000, 
0.8424685837745732, 0.024664453967260247, 0.16774840723458861, 33456000000, 
0.8426866523343387, 0.013327917248260693, 0.16825623421791813, 33524000000, 
0.8463184475450907, 0.012832879235058122, 0.16876491224360018, 33626000000, 
0.8501338584485767, 0.024824020380793305, 0.1692759305552004, 33728000000, 
0.8503559055627504, 0.013458193392199188, 0.16978721410376119, 33796000000, 
0.8540394619913526, 0.013018678475919717, 0.17030194840017865, 33898000000, 
0.8578983760324094, 0.025141568232196487, 0.1708195829057675, 34000000000, 
0.8581179301070837, 0.013594893719103643, 0.17133705120872303, 34068000000, 
