x, y, theta, stamp, 
-0.0038274333346635103, 0.000998427509330213, -0.033039089338503705, 1697832252442514804, 
-0.0038274333346635103, 0.000998427509330213, -0.03303908933597575, 1697832252473119697, 
-0.0038274333346635103, 0.000998427509330213, -0.0330390986382525, 1697832252539695251, 
-0.0038274333346635103, 0.000998427509330213, -0.033039092331210884, 1697832252589946041, 
-0.0038274333346635103, 0.000998427509330213, -0.033039086185891985, 1697832252632762638, 
-0.0038274130783975124, 0.0009984028292819858, -0.03303885794747542, 1697832252681329688, 
-0.0038274130783975124, 0.0009984028292819858, -0.03303886760877108, 1697832252733068193, 
-0.003811249975115061, 0.0009787543676793575, -0.032848616850445836, 1697832252780633560, 
-0.0013292303774505854, 0.0007700864225625992, -0.03592820101657477, 1697832252841405321, 
0.0031779794953763485, 0.00033147999783977866, -0.04766814682749239, 1697832252892392442, 
0.016482871025800705, -0.0012492322130128741, -0.08563819556135871, 1697832252990235653, 
0.0340983085334301, -0.0036110100336372852, -0.13692078028364338, 1697832253082336213, 
0.060068871825933456, -0.0081986915320158, -0.2106828397388718, 1697832253179178937, 
0.09385265409946442, -0.016803603619337082, -0.30526978311236797, 1697832253294358045, 
0.12179930508136749, -0.026497893035411835, -0.3894221660884367, 1697832253390249482, 
0.13383127748966217, -0.0317273885011673, -0.4255114024001712, 1697832253433233549, 
0.17388132214546204, -0.05259328335523605, -0.5491021527259918, 1697832253581147051, 
0.20177975296974182, -0.07088381052017212, -0.6360003848097423, 1697832253693250721, 
0.21364319324493408, -0.08023020625114441, -0.6728985726659898, 1697832253741239512, 
0.24563109874725342, -0.10779901593923569, -0.7690208556833115, 1697832253882406916, 
0.26928234100341797, -0.1318519413471222, -0.835730672047203, 1697832253992303673, 
0.2891022264957428, -0.15475359559059143, -0.8915274722251115, 1697832254091263298, 
0.3077473044395447, -0.17803047597408295, -0.9475450152635507, 1697832254191351134, 
0.3152408301830292, -0.18845967948436737, -0.9622875496720052, 1697832254232309917, 
0.3404572904109955, -0.22589600086212158, -1.0005815677502605, 1697832254382130840, 
0.35821881890296936, -0.25462213158607483, -1.0299792700900372, 1697832254491331231, 
0.36605435609817505, -0.26796257495880127, -1.0453505786887636, 1697832254541255976, 
0.3797507882118225, -0.29188138246536255, -1.07493997173193, 1697832254631251240, 
0.40076833963394165, -0.332029789686203, -1.121818957304062, 1697832254781150888, 
0.4152414798736572, -0.36252114176750183, -1.1541515773003244, 1697832254891263987, 
0.42818713188171387, -0.3904629647731781, -1.122071351044131, 1697832254992270925, 
0.4334332346916199, -0.40140900015830994, -1.100233718962951, 1697832255032355120, 
0.45475709438323975, -0.44262930750846863, -1.0858685517238194, 1697832255181156472, 
0.4696263074874878, -0.47209909558296204, -1.1213043398138993, 1697832255292260173, 
0.4826488494873047, -0.5000113248825073, -1.14333307035634, 1697832255392253775, 
0.4874701499938965, -0.5111510753631592, -1.1511761171371984, 1697832255432257630, 
0.5060371160507202, -0.5524619817733765, -1.1393320651441456, 1697832255581205706, 
0.5202863216400146, -0.5832754969596863, -1.124782281051406, 1697832255691373463, 
