x, y, th, stamp, 
-1.9999423968044032,-0.5000009937612354,7.48123820019829e-07,6971000000,
-1.9999422278108727,-0.5000009937730191,7.506373750713671e-07,7005000000,
-1.9999420868557252,-0.5000009937310376,7.529006968254807e-07,7039000000,
-1.9996025619135405,-0.5000009953050181,1.1615028274361695e-06,7073000000,
-1.9989232250195632,-0.5000009978381881,1.5701175753788803e-06,7107000000,
-1.997903699295411,-0.5000010014549842,1.5900900682595415e-06,7141000000,
-1.996544563814174,-0.5000010058771799,1.581937571522644e-06,7175000000,
-1.9951845829949733,-0.5000010101903062,1.597415886814993e-06,7209000000,
-1.9928053197846345,-0.5000010153716794,2.1897456414116384e-06,7243000000,
-1.9900863759853358,-0.5000010248619664,1.926144198496785e-06,7277000000,
-1.9870267627275582,-0.5000010326002144,1.7722123644527242e-06,7311000000,
-1.9832876851757828,-0.500001038609887,2.086323478096593e-06,7345000000,
-1.978868785153422,-0.5000010488352847,2.082862833257428e-06,7379000000,
-1.9744496599171237,-0.500001061549253,1.6738625265326747e-06,7413000000,
-1.9693503522181621,-0.5000010700567569,2.1453437796834744e-06,7447000000,
-1.9639113080616017,-0.5000010803026004,2.1027767694791673e-06,7481000000,
-1.9577918655577127,-0.5000010921221019,2.0167002537616436e-06,7515000000,
-1.9509929869514944,-0.5000011040222634,1.958739656739165e-06,7549000000,
-1.9438541573372927,-0.5000011159725702,1.8873756749461642e-06,7583000000,
-1.9367145474853737,-0.5000011283900301,1.8009512788857693e-06,7617000000,
-1.9288953497775347,-0.5000011405147714,2.0735317419369573e-06,7651000000,
-1.9203963136443845,-0.5000011534899206,2.097750151199524e-06,7685000000,
-1.9118970214102318,-0.5000011672926558,1.7175432618855266e-06,7719000000,
-1.9030572896157594,-0.5000011770777616,1.9795815002099425e-06,7753000000,
-1.8935379360527675,-0.5000011874255508,2.1820618991752886e-06,7787000000,
-1.883678443413059,-0.500001202484526,1.8465755725888051e-06,7821000000,
-1.8734788462777678,-0.5000012158970585,1.8548886477999928e-06,7855000000,
-1.8629391440232677,-0.500001225995703,2.052661677893111e-06,7889000000,
-1.8517196375540044,-0.500001236699863,2.1407570433943413e-06,7923000000,
-1.8401599924476688,-0.5000012504082015,1.8938288957792198e-06,7957000000,
-1.8279205449516065,-0.5000012618360382,2.0833625418422872e-06,7991000000,
-1.8150012598010872,-0.5000012711179416,2.200809006712e-06,8025000000,
-1.8017418348722674,-0.5000012829157721,1.9143153605155265e-06,8059000000,
-1.7881423046439964,-0.5000012946195785,1.920187758260231e-06,8093000000,
-1.774202668544842,-0.5000013046300956,2.0870309284053955e-06,8127000000,
-1.7599229262346574,-0.5000013152054628,2.056548519113652e-06,8161000000,
-1.7449633803357851,-0.5000013240421567,2.163266227309083e-06,8195000000,
-1.7296636950562543,-0.5000013325143471,2.0443561171322704e-06,8229000000,
-1.7140239054085358,-0.5000013412731008,2.001481235291237e-06,8263000000,
-1.6980440114156965,-0.5000013495128524,2.0764778682005843e-06,8297000000,
-1.6813843152857333,-0.5000013566754412,2.257005683705415e-06,8331000000,
-1.6640447820872033,-0.5000013632525807,2.2358420929209396e-06,8365000000,
-1.6463651095185021,-0.5000013698478016,2.0259983549233416e-06,8399000000,
-1.6283453323228692,-0.5000013752431985,2.071078957677681e-06,8433000000,
-1.609985450231449,-0.5000013807940797,2.1569336698877516e-06,8467000000,
-1.5912854639039395,-0.5000013875889243,2.1326947391254735e-06,8501000000,
-1.5722453750749825,-0.5000013932230121,2.1469604343015312e-06,8535000000,
-1.552865362456095,-0.5000013981022683,2.23201092479672e-06,8569000000,
-1.53348458946223,-0.5000014031529042,2.1145690414858508e-06,8603000000,
-1.513084523729816,-0.5000014063192222,2.497643313379955e-06,8637000000,
-1.4923442929797635,-0.5000014078369861,2.233801474773496e-06,8671000000,
-1.4712639622843326,-0.5000014160093247,2.0570877958516506e-06,8705000000,
-1.449843530655159,-0.5000014241025382,2.2822456847122976e-06,8739000000,
-1.428082997320385,-0.5000014281352686,2.3711846548964157e-06,8773000000,
-1.4059823632927564,-0.5000014346283959,2.247454922850907e-06,8807000000,
-1.3832019294584053,-0.500001441417668,2.4129676564827885e-06,8841000000,
-1.3600813644486867,-0.5000014479814302,2.344618518758651e-06,8875000000,
-1.3362809989395659,-0.50000145535299,2.4373923425097395e-06,8909000000,
-1.3118008000867059,-0.5000014607893412,2.506398947531316e-06,8943000000,
-1.2869804696659364,-0.5000014690692471,2.3065032529745434e-06,8977000000,
-1.2614803385224103,-0.5000014783166039,2.4807974360850633e-06,9011000000,
-1.2356400740917908,-0.5000014855010408,2.4522306769097345e-06,9045000000,
-1.2094597080431382,-0.500001495167312,2.3653782745598117e-06,9079000000,
-1.1829392415199618,-0.5000015062968564,2.428884008748172e-06,9113000000,
-1.155738974095196,-0.5000015132962532,2.6596656570928267e-06,9147000000,
-1.1281985736254465,-0.5000015206785025,2.462426553912343e-06,9181000000,
-1.1003180728393498,-0.5000015341532902,2.378648903479743e-06,9215000000,
-1.0720974729129833,-0.5000015470189251,2.545653795316272e-06,9249000000,
-1.0431970727449076,-0.5000015548800015,2.7556925840997567e-06,9283000000,
-1.0136168388481843,-0.5000015613916712,2.661296963112256e-06,9317000000,
-0.9836964735251339,-0.5000015754797577,2.4251506990180343e-06,9351000000,
-0.9530963084950149,-0.5000015889001098,2.7056088735397322e-06,9385000000,
-0.9221560104456172,-0.500001597983334,2.67741142471809e-06,9419000000,
-0.8908756109767247,-0.5000016117389489,2.526913394337686e-06,9453000000,
