e, e_dot, e_int, stamp, 
4.941435331474037, -9.695767152114361e-08, 0.988287067397933, 2800274000000, 
4.941435337241312, 6.102563195516571e-08, 0.9882870658432646, 2800376000000, 
4.938577241392299, -0.009526966939127727, 0.9880965273405098, 2800478000000, 
4.928801885714332, -0.04211150508993159, 0.9872542976231962, 2800580000000, 
4.922311728272334, -0.054218377066549785, 0.9859793903585976, 2800648000000, 
4.912599586807528, -0.054007663022680084, 0.9842475467196129, 2800750000000, 
4.902928921376132, -0.06460935632067215, 0.9825226824303995, 2800852000000, 
4.893317018456387, -0.06427522783713613, 0.9805897017760031, 2800954000000, 
4.883719752004313, -0.06403056457272942, 0.9786643794557889, 2801056000000, 
4.8739557214172935, -0.06453765679697909, 0.9767328327918662, 2801158000000, 
4.864110967803624, -0.06536261400229708, 0.9747857627483487, 2801260000000, 
4.854192024836823, -0.06587898860156945, 0.9728172476038495, 2801362000000, 
4.844215104703212, -0.06631954366804156, 0.9708345398229105, 2801464000000, 
4.834179356925273, -0.06670889303849847, 0.9688390990976871, 2801566000000, 
4.824067643064438, -0.06715820546258004, 0.9668308069795283, 2801668000000, 
4.813939803452595, -0.06746517824226157, 0.9648124535628203, 2801770000000, 
4.803798800030973, -0.06756281011154996, 0.9627870831032003, 2801872000000, 
4.793672719097246, -0.06755694785116322, 0.9607607548387207, 2801974000000, 
4.783571038770752, -0.06742587086740137, 0.958736170526598, 2802076000000, 
4.773482238480049, -0.0673016020573236, 0.956715066423203, 2802178000000, 
4.766773549987137, -0.055991629278716225, 0.9549217884825293, 2802246000000, 
4.756727143349552, -0.05585031710165408, 0.9531321954544492, 2802348000000, 
4.74659419059233, -0.06726453131602324, 0.9513396589286013, 2802450000000, 
4.736437403263586, -0.06763246695322245, 0.9493172491470313, 2802552000000, 
4.726332786820019, -0.06753801257437075, 0.9472909587117291, 2802654000000, 
4.716234292179669, -0.06734370361305568, 0.9452669654842182, 2802756000000, 
4.7061608357788955, -0.06723983680374523, 0.9432485276519055, 2802858000000, 
4.6961420986976625, -0.06697397827335472, 0.9412358151104151, 2802960000000, 
4.686181488188233, -0.06659782530220741, 0.9392322948443194, 2803062000000, 
4.676185650804672, -0.06652149297663594, 0.9372339491793712, 2803164000000, 
4.666103368446576, -0.06692706580552432, 0.9352313671626321, 2803266000000, 
4.6559991952867, -0.06728818505990534, 0.9332192143025297, 2803368000000, 
4.645889358652657, -0.0673800326463958, 0.9311994614923956, 2803470000000, 
4.635776883109751, -0.06740770725649863, 0.9291776958032738, 2803572000000, 
4.625682442032679, -0.06735638873326029, 0.9271565789196726, 2803674000000, 
4.615614837672887, -0.06720681812287725, 0.925138277521021, 2803776000000, 
4.6088990974234205, -0.055944482030862254, 0.9233464251419325, 2803844000000, 
4.598718123343602, -0.05632238109761841, 0.9215488038959939, 2803946000000, 
4.588504747217056, -0.0679811673545494, 0.9197414645322719, 2804048000000, 
4.578311201713743, -0.06802307209953007, 0.9177022714849599, 2804150000000, 
4.568036450552168, -0.06822765554962491, 0.9156568266321978, 2804252000000, 
4.557791533967522, -0.06839889248740387, 0.9136092790822289, 2804354000000, 
4.547569797195743, -0.06822217785474945, 0.9115598521143622, 2804456000000, 
4.53735236551654, -0.06813056150327235, 0.9095142464453204, 2804558000000, 
4.527199276536264, -0.06790173553159917, 0.9074747626165698, 2804660000000, 
4.517100400706869, -0.06750654936557095, 0.9054434695173114, 2804762000000, 
4.50698744765165, -0.06737276294871346, 0.9034191416596521, 2804864000000, 
4.4968698882711795, -0.06743504145229728, 0.9013971824419799, 2804966000000, 
4.4867582563941575, -0.06743063752497373, 0.8993743728211324, 2805068000000, 
4.476693596106142, -0.06725430721679082, 0.8973547827180987, 2805170000000, 
4.466673597801549, -0.0669488619753622, 0.8953416966867899, 2805272000000, 
4.456685478052202, -0.06669372684646883, 0.893336844797326, 2805374000000, 
4.450022759186297, -0.05550279538417394, 0.8915587890026697, 2805442000000, 
4.440053281823729, -0.05544065409491002, 0.8897841012708151, 2805544000000, 
4.430094853890025, -0.0664263509875725, 0.8880113929933368, 2805646000000, 
4.4201483474769665, -0.06634978115587369, 0.8860197655460479, 2805748000000, 
4.410279238220463, -0.06605205223187305, 0.8840348293058303, 2805850000000, 
4.400461245637164, -0.065623672799342, 0.8820592554223061, 2805952000000, 
4.390678205515226, -0.06533677568412462, 0.8800945792915235, 2806054000000, 
4.380953920168276, -0.06502441822962741, 0.8781395580880443, 2806156000000, 
4.3713019748048705, -0.06458743570118368, 0.8761956066992248, 2806258000000, 
4.361697792312668, -0.06418709285202458, 0.8742635791523876, 2806360000000, 
4.352125912806351, -0.06392020666173022, 0.872341711994926, 2806462000000, 
4.342591498178371, -0.06368764711432402, 0.8704276802198261, 2806564000000, 
4.333090030587952, -0.06345294072799786, 0.8685204961048449, 2806666000000, 
4.323619981080893, -0.06323839032492747, 0.866620100656481, 2806768000000, 
4.314188303849885, -0.06300575579355557, 0.8647265543679153, 2806870000000, 
4.304801467339514, -0.06272837913792924, 0.8628406501513527, 2806972000000, 
4.295462330791737, -0.06241991019382868, 0.8609634734654091, 2807074000000, 
4.289263116212517, -0.05179450375665695, 0.8593017942895845, 2807142000000, 
4.280003372763758, -0.05152986009326158, 0.857648587984534, 2807244000000, 
4.270790199543042, -0.061576388898248645, 0.8560037792346212, 2807346000000, 
4.26162149050344, -0.06127294086772631, 0.8541610041873494, 2807448000000, 
4.252495765495095, -0.06098144682649279, 0.8523271637027718, 2807550000000, 
4.243407717154853, -0.06071257782862401, 0.8505016648768925, 2807652000000, 
