x, y, th, stamp, 
-2.4136719703674316,1.4962657690048218,2.003442734661799,1696619068789597123,
-2.4144303798675537,1.4985976219177246,2.0571241237495084,1696619068841451997,
-2.4160590171813965,1.5013344287872314,2.1368173484689845,1696619068900258271,
-2.417515277862549,1.5038801431655884,2.2016933158129044,1696619068939915700,
-2.420499801635742,1.5081390142440796,2.316948690687377,1696619069000774466,
-2.423098564147949,1.5113658905029297,2.4070219893691234,1696619069044686647,
-2.4269070625305176,1.5152884721755981,2.5078812624185107,1696619069094604267,
-2.4316489696502686,1.519095540046692,2.6045667691773615,1696619069145379981,
-2.4368722438812256,1.5222910642623901,2.699551096567834,1696619069195449518,
-2.442121982574463,1.5251636505126953,2.787427878289034,1696619069241428796,
-2.447665214538574,1.5275168418884277,2.8718524088946698,1696619069284824017,
-2.4542324542999268,1.5296330451965332,2.967581974460016,1696619069335074606,
-2.4634664058685303,1.5313234329223633,3.092969892674154,1696619069401380336,
-2.469954013824463,1.53180730342865,-3.1061217772244127,1696619069445394748,
-2.477092981338501,1.5320909023284912,-3.010835653708899,1696619069495427871,
-2.4849276542663574,1.5313321352005005,-2.91511131160063,1696619069545392425,
-2.4930012226104736,1.5296754837036133,-2.81646159375425,1696619069596424525,
-2.50216007232666,1.5264126062393188,-2.702746656246545,1696619069655355238,
-2.506793260574341,1.5244042873382568,-2.645341370489453,1696619069684912630,
-2.514875650405884,1.520215630531311,-2.550425986899139,1696619069735505108,
-2.5252187252044678,1.513027310371399,-2.426084015953017,1696619069802388157,
-2.5311665534973145,1.507848858833313,-2.344499155388864,1696619069844631967,
-2.5380592346191406,1.5011050701141357,-2.2480126911192957,1696619069895529092,
-2.5442607402801514,1.4935978651046753,-2.151410428472769,1696619069945532172,
-2.5501084327697754,1.48513925075531,-2.0528629535881873,1696619069996433919,
-2.55452823638916,1.4767428636550903,-1.9637563170006798,1696619070042498346,
-2.557997465133667,1.4683446884155273,-1.881805753927216,1696619070085168635,
-2.561404228210449,1.4579503536224365,-1.789171280559367,1696619070135313987,
-2.564474582672119,1.4428759813308716,-1.6650420441927518,1696619070202401805,
-2.565337657928467,1.4333300590515137,-1.5819662955227227,1696619070245418472,
-2.565654993057251,1.4219809770584106,-1.4848503201637733,1696619070295428206,
-2.5647811889648438,1.4107246398925781,-1.3890724502878058,1696619070345396712,
-2.5628249645233154,1.399926781654358,-1.2990306892182366,1696619070392449181,
-2.5595943927764893,1.3881067037582397,-1.2069629506149033,1696619070440561487,
-2.5557689666748047,1.378416895866394,-1.1282285111793424,1696619070485065513,
-2.55059552192688,1.3671211004257202,-1.0335895397777997,1696619070534592640,
-2.541971206665039,1.352982521057129,-0.9082771372825671,1696619070603402291,
-2.5357775688171387,1.3447397947311401,-0.8316310176768371,1696619070645412839,
-2.527407646179199,1.3353633880615234,-0.7425950673380024,1696619070695452062,
-2.5181005001068115,1.3267771005630493,-0.6533086340658306,1696619070745396537,
-2.508488655090332,1.3193210363388062,-0.566343616299292,1696619070793416880,
-2.4979403018951416,1.312332272529602,-0.47768131867258773,1696619070843480410,
-2.4885499477386475,1.3069727420806885,-0.40528348811149845,1696619070884721470,
-2.476659059524536,1.301736831665039,-0.3225752983813191,1696619070935517389,
-2.45963454246521,1.2962459325790405,-0.2088058616160741,1696619071003405121,
-2.4488024711608887,1.2935454845428467,-0.137555171964502,1696619071045406525,
-2.4358530044555664,1.291454792022705,-0.05315246980114658,1696619071095451898,
-2.422793388366699,1.2907896041870117,0.029556455965834443,1696619071145404045,
-2.410067081451416,1.2910140752792358,0.10780982663834385,1696619071193461345,
-2.3968935012817383,1.292227029800415,0.18910144019655986,1696619071243428738,
-2.3858630657196045,1.2944526672363281,0.2565275374114065,1696619071284776596,
-2.372741937637329,1.2977205514907837,0.3374250400804041,1696619071335404718,
-2.359895944595337,1.301906704902649,0.41834673378448284,1696619071387402657,
-2.345602512359619,1.308881163597107,0.5071434081444761,1696619071446436596,
-2.3340251445770264,1.3154902458190918,0.584963295418643,1696619071496444985,
-2.322622776031494,1.3227771520614624,0.6640579739153695,1696619071547416851,
-2.3121674060821533,1.3310174942016602,0.7367027372844863,1696619071594477514,
-2.3020925521850586,1.3404011726379395,0.811260076339087,1696619071643575117,
-2.2943804264068604,1.348656415939331,0.8750831762508823,1696619071685564444,
-2.2857182025909424,1.3591862916946411,0.9494212028346516,1696619071736508947,
-2.2754321098327637,1.3746716976165771,1.0488912278422187,1696619071805427257,
-2.2700533866882324,1.3841971158981323,1.106701068763545,1696619071845497879,
-2.26361083984375,1.396688461303711,1.1813561857530506,1696619071896433981,
-2.2586796283721924,1.409163236618042,1.2522969215690338,1696619071945517577,
-2.2545785903930664,1.4223989248275757,1.3226476988801026,1696619071995430145,
-2.2511370182037354,1.4357500076293945,1.3941569089695804,1696619072045185164,
-2.249150276184082,1.4469143152236938,1.4501543586242873,1696619072085470499,
-2.2473933696746826,1.4610686302185059,1.5224173774859646,1696619072135660996,
-2.2471113204956055,1.4809837341308594,1.618157551769048,1696619072205468230,
-2.2477078437805176,1.4921454191207886,1.6728436984757893,1696619072244675698,
-2.249263286590576,1.5064196586608887,1.741645621969873,1696619072295696174,
-2.2519280910491943,1.52023184299469,1.8076431479084691,1696619072344637034,
-2.2555789947509766,1.5345003604888916,1.8750193853007566,1696619072395464171,
-2.2599282264709473,1.548012614250183,1.9418246822527532,1696619072445170282,
-2.2643251419067383,1.558797836303711,1.9945783924135878,1696619072485489224,
-2.27030611038208,1.572302222251892,2.0620632099794345,1696619072536398136,
-2.2805755138397217,1.5900812149047852,2.152133538165404,1696619072604548757,
-2.2869515419006348,1.5995844602584839,2.2044789882474944,1696619072645026295,
-2.295755624771118,1.6115224361419678,2.269951907126805,1696619072694615969,
-2.3053929805755615,1.6226884126663208,2.333863476636804,1696619072744781830,
-2.315606117248535,1.6328712701797485,2.3967257931274273,1696619072794820911,
-2.3285155296325684,1.644700288772583,2.4734353622225975,1696619072855561755,
-2.3355894088745117,1.6499651670455933,2.508882942170008,1696619072885303865,
