acc_x, acc_y, angular_z, stamp, 
-0.060704131506390556,0.0018916222753095424,-8.514906288037482e-06,21409000000,
-0.06128766138072565,0.02262973209362949,-6.482016202370963e-05,21414000000,
-0.022109919421053816,-0.012545140026530623,-7.707335097188607e-05,21419000000,
6.927521419640747,-0.0016213687828490237,0.00022477599946136466,21424000000,
-0.2636921762608041,-0.014382287437440307,0.0005348048377643206,21429000000,
-0.10973548309891887,0.01790899755041693,-4.750583803270977e-05,21434000000,
-0.02112752565421991,0.004431996103961662,0.00026553566300770387,21439000000,
-0.07249834652120649,-0.004612148271799836,-2.1473011126726848e-05,21444000000,
-0.031290670930737056,-0.00689782181054678,4.582170435797773e-06,21449000000,
-0.03322084287622036,0.009307367980882832,-0.0002944310107683488,21454000000,
6.963344269439793,0.0018794328256151048,0.00036778171315762797,21459000000,
-0.20668269279543391,0.004572463356496702,-1.3079244394566455e-05,21464000000,
-0.10879958185518707,0.002638138336848495,-0.00018553126085974001,21469000000,
-0.09630435086954175,-0.03074540403141016,-0.00018105289052488356,21474000000,
-0.055124101496737424,0.008034495321883557,1.641510034631015e-05,21479000000,
-0.07352007430353694,-0.01576121691783717,-9.854931938158853e-05,21484000000,
-0.05314801440926635,0.014799323267409493,-6.994733395443098e-06,21489000000,
6.886772394672817,-0.003259029252144236,-0.00010647867820685325,21494000000,
-0.12017138937386064,-0.010194454850750639,-0.00029665704894908597,21501000000,
-0.09221586299703255,0.009041616491357582,7.383941476219064e-05,21506000000,
-0.06423732230233142,0.004511690982087725,-8.439020308868284e-05,21511000000,
-0.06900926675819143,-0.002084849655208077,-0.00013938132363691718,21517000000,
-0.06971410367711957,-0.01230908061506917,-0.00010474941118453165,21523000000,
6.912518582098949,-0.0023386138626784866,-2.5702326119664502e-05,21528000000,
-0.14675955509871622,0.0008550753200981038,-0.00015259440025693546,21533000000,
-0.09336701590809157,0.01665484026879746,-2.0467681005337976e-05,21538000000,
-0.05788714199766021,0.00553185632777996,-6.668953400242165e-05,21543000000,
-0.05688895996417198,-0.0343313108608025,0.00021767873680686645,21548000000,
-0.05789898638044026,0.005827329464996326,-0.00016171414748825187,21553000000,
-0.04821693531921332,0.011696610018566473,-9.070998860856708e-05,21559000000,
11.600085741742935,0.015620600545133215,-0.0003294826551894489,21566000000,
-0.14591312360436948,0.0074733006245172335,0.00014261905236615275,21571000000,
-0.07348477691352759,0.025379881991982645,-0.0004195789652088553,21576000000,
-0.051944651981936645,-0.00460882057713826,-0.00030164304886804246,21581000000,
-0.04869316911506165,-0.002332191545664178,0.00017066075250891938,21586000000,
-0.06794650535722108,-0.017300357164424966,-3.863128294462505e-05,21591000000,
6.91333569536337,-0.01712444387727181,0.0002580040144487458,21596000000,
-0.13716439933487626,0.006867094635927937,-4.174598953994151e-05,21601000000,
-0.0847825962415537,-0.007532981898179291,1.9273339116042064e-05,21608000000,
-0.054436638862799196,-0.010440642427006664,8.726452913505623e-05,21613000000,
-0.041414748038513464,0.004348594227352189,0.0001786810258130506,21618000000,
-0.043249743872097006,0.05901620478728532,5.58281778363851e-05,21623000000,
6.91768111401901,-0.025334408901538864,6.344104961873542e-06,21628000000,
-0.14176440688926198,0.023073812151387738,2.8900780748842494e-05,21633000000,
-0.1396942441581649,-0.005766964686899454,-0.0003582521945655745,21638000000,
-0.06767015691703249,0.018704188570710725,-0.00011636833742828409,21643000000,
-0.030663286592342694,-0.026926449505988628,0.00010048354377469216,21648000000,
-0.029700156233466942,-0.004490733437303143,-5.255662412888045e-05,21653000000,
-0.006802956134002263,-0.0032026181438172116,0.0001944763089788611,21658000000,
6.9243328562721915,-0.027173509097146158,1.9299863411068274e-05,21663000000,
-0.1448508272891887,0.00812626315413158,-3.3690120552467244e-05,21668000000,
-0.08456260278577905,0.03163008292783762,-8.576015046738065e-05,21673000000,
-0.052644959372765164,0.012706049714885963,0.00019657308175740138,21678000000,
-0.0331203913066524,-0.008949687483388554,9.235612436159486e-05,21683000000,
-0.021799418922947178,0.0017462373841353328,0.00011224470879044946,21688000000,
-0.046058681559459025,0.00388475320218507,-0.00014174375110511192,21693000000,
6.955112910280383,0.004120410793458864,-0.0001018294394178107,21698000000,
-0.13273700617487924,-0.003157355440760721,-9.798682740960522e-05,21703000000,
-0.0726972645301848,-0.015455843653477167,4.204066877820469e-05,21708000000,
-0.03314522845735399,0.015289273200794106,4.573757770581559e-05,21713000000,
-0.04752389420210927,0.019138391696623944,-0.00014860596967680557,21718000000,
-0.012224874567857136,-0.02208411719660755,-0.00022092383607260596,21723000000,
