x, y, theta, stamp, 
1.0656929631151973e-06, -2.3344268528324742e-07, 1.2147937374277517e-06, 2786878000000, 
1.0596627272028839e-06, -2.3720005761641012e-07, 1.222676400827478e-06, 2786980000000, 
1.1046350140833819e-06, -2.3781235224016184e-07, 1.2148507968795622e-06, 2787082000000, 
1.0910580775699196e-06, -2.3734696876392944e-07, 1.2252658796320174e-06, 2787184000000, 
1.1080270767929346e-06, -2.4055344133203306e-07, 1.228967732472881e-06, 2787286000000, 
1.122500199547562e-06, -2.3922366516478206e-07, 1.227378556666141e-06, 2787388000000, 
1.0993887775109308e-06, -2.4117209346886403e-07, 1.2356536666357195e-06, 2787490000000, 
1.141863207268867e-06, -2.401359256973383e-07, 1.2334264449659163e-06, 2787592000000, 
1.1167636359385163e-06, -2.409553006322091e-07, 1.237745618506503e-06, 2787694000000, 
1.1073307569750295e-06, -2.4455095740464816e-07, 1.2447066495343346e-06, 2787796000000, 
1.147528159186154e-06, -2.4426807027017486e-07, 1.243643858651425e-06, 2787864000000, 
1.1557867558718905e-06, -2.463059021689161e-07, 1.2355545570094322e-06, 2787966000000, 
1.1151788602347587e-06, -2.4492480872404977e-07, 1.248165443676808e-06, 2788068000000, 
1.133156412393099e-06, -2.475397975771682e-07, 1.2499633373064476e-06, 2788170000000, 
1.1854407303177905e-06, -2.488737085234023e-07, 1.240033903908177e-06, 2788272000000, 
1.1528060297524877e-06, -2.491650018068027e-07, 1.2550264092928678e-06, 2788374000000, 
1.1499276757870686e-06, -2.4805444674135196e-07, 1.263852427744338e-06, 2788476000000, 
1.2040298382062583e-06, -2.5000789995312404e-07, 1.2617274997423408e-06, 2788578000000, 
1.189660175314659e-06, -2.528672536509301e-07, 1.2603541804381774e-06, 2788680000000, 
1.1556971589143018e-06, -2.536605788113404e-07, 1.2727909284127253e-06, 2788782000000, 
1.2039810299054015e-06, -2.5208628806584285e-07, 1.2712318106543636e-06, 2788884000000, 
1.2339632792356455e-06, -2.554362102659664e-07, 1.2590627748075815e-06, 2788986000000, 
1.1938133331679409e-06, -2.5445707710097136e-07, 1.2755252358370355e-06, 2789088000000, 
1.2038274340883286e-06, -2.5746516206224735e-07, 1.276159348281285e-06, 2789190000000, 
1.2421557176790016e-06, -2.5661167904585743e-07, 1.2776927695890263e-06, 2789258000000, 
1.217239613132524e-06, -2.5811170463798846e-07, 1.2891278635200291e-06, 2789394000000, 
1.2326172125091805e-06, -2.598649778440055e-07, 1.2844453241996423e-06, 2789462000000, 
1.2570901428757963e-06, -2.585438535615422e-07, 1.2751626423698016e-06, 2789564000000, 
1.226017528602258e-06, -2.604802496161378e-07, 1.2928308275084655e-06, 2789666000000, 
1.2637888275936501e-06, -2.611091629226371e-07, 1.2937642729094544e-06, 2789768000000, 
1.265145679373233e-06, -2.6308118832700863e-07, 1.2864765676494885e-06, 2789870000000, 
1.2520504617151108e-06, -2.6376467467430656e-07, 1.3035638164912803e-06, 2789972000000, 
1.2858109144248076e-06, -2.6433547098376035e-07, 1.2945833941020888e-06, 2790074000000, 
1.2611822692470948e-06, -2.638956111931716e-07, 1.304177182175753e-06, 2790176000000, 
1.2672514739843416e-06, -2.6694459715496625e-07, 1.3078614486056052e-06, 2790278000000, 
1.3086838693165382e-06, -2.6460324462912243e-07, 1.2966933280574531e-06, 2790380000000, 
1.2788278297836499e-06, -2.6758026249510104e-07, 1.3127734421400228e-06, 2790482000000, 
1.3135482214438132e-06, -2.681940827936358e-07, 1.315337232744866e-06, 2790584000000, 
1.3118975905494184e-06, -2.7013541385154593e-07, 1.3085391394394297e-06, 2790686000000, 
1.2958379399665555e-06, -2.7080912614532436e-07, 1.3252625032487758e-06, 2790788000000, 
1.3413734684309935e-06, -2.707923756990835e-07, 1.3211305135111564e-06, 2790890000000, 
1.3230149234059227e-06, -2.7066725979414213e-07, 1.326831895555172e-06, 2790992000000, 
1.3258856628225223e-06, -2.7396257557631023e-07, 1.3307198865420218e-06, 2791094000000, 
1.3534341529084075e-06, -2.735363883017101e-07, 1.3223502522420807e-06, 2791162000000, 
1.3341253576701293e-06, -2.729963793892466e-07, 1.3306453459778255e-06, 2791264000000, 
1.3359690365871257e-06, -2.762788918155429e-07, 1.3377216804944354e-06, 2791366000000, 
1.3732664545686525e-06, -2.73974363022059e-07, 1.3265436485091918e-06, 2791468000000, 
1.339338096325122e-06, -2.7689815611801263e-07, 1.3417875325994483e-06, 2791570000000, 
1.3700394360375982e-06, -2.7750268053309974e-07, 1.3441462340189337e-06, 2791672000000, 
1.3882312643577293e-06, -2.789054017247955e-07, 1.33491648806143e-06, 2791774000000, 
1.339744717406498e-06, -2.781382840937794e-07, 1.3466391771220808e-06, 2791876000000, 
1.343817601934253e-06, -2.8059415558509895e-07, 1.3513291841902642e-06, 2791978000000, 
1.4223361250858262e-06, -2.797886808804723e-07, 1.3551721571834765e-06, 2792080000000, 
1.4282953837708436e-06, -2.8041299962149675e-07, 1.3541079116491911e-06, 2792182000000, 
1.3649203605188968e-06, -2.8326200594369754e-07, 1.3603340183966025e-06, 2792284000000, 
1.3707597957133943e-06, -2.8238795703079243e-07, 1.3618490025487392e-06, 2792386000000, 
1.4360056259296382e-06, -2.8540217559333806e-07, 1.3628851607562105e-06, 2792488000000, 
1.4271683715240197e-06, -2.863100331360035e-07, 1.3645016866543486e-06, 2792590000000, 
1.4040495926794732e-06, -2.8694495609027956e-07, 1.3778511422020675e-06, 2792692000000, 
1.4322904428545547e-06, -2.866709018828446e-07, 1.372080884423263e-06, 2792760000000, 
